state,csv_district,geojson_district
Madhya Pradesh,Guna,Guna
Madhya Pradesh,Gwalior,Gwalior
Madhya Pradesh,Harda,Harda
Madhya Pradesh,Indore,Indore
Madhya Pradesh,Jabalpur,Jabalpur
Madhya Pradesh,Jhabua,Jhabua
Madhya Pradesh,Katni,Katni
Madhya Pradesh,Khandwa,East Nimar
Madhya Pradesh,Khargone,West Nimar
Madhya Pradesh,Maihar,Satna
Madhya Pradesh,Mandla,Mandla
Madhya Pradesh,Mandsaur,Mandsaur
Madhya Pradesh,Mauganj,Rewa
Madhya Pradesh,Morena,Morena
Madhya Pradesh,Narmadapuram,Hoshangabad
Madhya Pradesh,Narsinghpur,Narsimhapur
Madhya Pradesh,Neemuch,Neemuch
Madhya Pradesh,Niwari,Tikamgarh
Madhya Pradesh,Pandhurna,Chhindwara
Madhya Pradesh,Panna,Panna
Madhya Pradesh,Raisen,Raisen
Madhya Pradesh,Rajgarh,Rajgarh
Madhya Pradesh,Ratlam,Ratlam
Madhya Pradesh,Rewa,Rewa
Madhya Pradesh,Sagar,Sagar
Madhya Pradesh,Satna,Satna
Madhya Pradesh,Sehore,Sehore
Madhya Pradesh,Seoni,Seoni
Madhya Pradesh,Shahdol,Shahdol
Madhya Pradesh,Shajapur,Shajapur
Madhya Pradesh,Sheopur,Sheopur
Madhya Pradesh,Shivpuri,Shivpuri
Madhya Pradesh,Sidhi,Sidhi
Madhya Pradesh,Singroli,Singrauli
Madhya Pradesh,Tikamgarh,Tikamgarh
Madhya Pradesh,Ujjain,Ujjain
Madhya Pradesh,Umaria,Umaria
Madhya Pradesh,Vidisha,Vidisha
Odisha,Angul,Anugul
Odisha,Bargarh,Bargarh
Odisha,Bolangir,Balangir
Odisha,Deogarh,Debagarh
Odisha,Gajapati,Gajapati
Odisha,Ganjam,Ganjam
Odisha,Kalahandi,Kalahandi
Odisha,Kandhamal,Kandhamal
Odisha,Koraput,Koraput
Odisha,Malkangiri,Malkangiri
Odisha,Mayurbhanj,Mayurbhanj
Odisha,Rayagada,Rayagada
Uttar Pradesh,Agra,Agra
Uttar Pradesh,Aligarh,Aligarh
Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar
Uttar Pradesh,Amethi,Sultanpur
Uttar Pradesh,Amroha,Jyotiba Phule Nagar
Uttar Pradesh,Auraiya,Auraiya
Uttar Pradesh,Ayodhya,Faizabad
Uttar Pradesh,Azamgarh,Azamgarh
Uttar Pradesh,Baghpat,Baghpat
Uttar Pradesh,Bahraich,Bahraich
Uttar Pradesh,Ballia,Ballia
Uttar Pradesh,Balrampur,Balrampur
Uttar Pradesh,Banda,Banda
Uttar Pradesh,Barabanki,Bara Banki
Uttar Pradesh,Bareilly,Bareilly
Uttar Pradesh,Basti,Basti
Uttar Pradesh,Bijnor,Bijnor
Uttar Pradesh,Budaun,Budaun
Uttar Pradesh,Bulandshahr,Bulandshahr
Uttar Pradesh,Chandauli,Chandauli
Uttar Pradesh,Chitrakoot,Chitrakoot
Uttar Pradesh,Deoria,Deoria
Uttar Pradesh,Etah,Etah
Uttar Pradesh,Etawah,Etawah
Uttar Pradesh,Farrukhabad,Farrukhabad
Uttar Pradesh,Fatehpur,Fatehpur
Uttar Pradesh,Firozabad,Firozabad
Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar
Uttar Pradesh,Ghaziabad,Ghaziabad
Uttar Pradesh,Ghazipur,Ghazipur
Uttar Pradesh,Gonda,Gonda
Uttar Pradesh,Gorakhpur,Gorakhpur
Uttar Pradesh,Hamirpur,Hamirpur
Uttar Pradesh,Hapur,Ghaziabad
Uttar Pradesh,Hardoi,Hardoi
Uttar Pradesh,Hathras,Mahamaya Nagar
Uttar Pradesh,Jalaun,Jalaun
Uttar Pradesh,Jaunpur,Jaunpur
Uttar Pradesh,Jhansi,Jhansi
Uttar Pradesh,Kannauj,Kannauj
Uttar Pradesh,Kanpur Dehat,Kanpur Dehat
Uttar Pradesh,Kanpur Nagar,Kanpur Nagar
Uttar Pradesh,Kasganj,Kansiram Nagar
Uttar Pradesh,Kaushambi,Kaushambi
Uttar Pradesh,Kheri,Kheri
Uttar Pradesh,Kushi Nagar,Kushinagar
Uttar Pradesh,Lalitpur,Lalitpur
Uttar Pradesh,Lucknow,Lucknow
Uttar Pradesh,Maharajganj,Maharajganj
Uttar Pradesh,Mahoba,Mahoba
Uttar Pradesh,Mainpuri,Mainpuri
Uttar Pradesh,Mathura,Mathura
Uttar Pradesh,Mau,Mau
Uttar Pradesh,Meerut,Meerut
Uttar Pradesh,Mirzapur,Mirzapur
Uttar Pradesh,Moradabad,Moradabad
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar
Uttar Pradesh,Pilibhit,Pilibhit
Uttar Pradesh,Pratapgarh,Pratapgarh
Uttar Pradesh,Prayagraj,Allahabad
Uttar Pradesh,Rae Bareli,Rae Bareli
Uttar Pradesh,Rampur,Rampur
Uttar Pradesh,Saharanpur,Saharanpur
Uttar Pradesh,Sambhal,Moradabad
Uttar Pradesh,Sant Kabeer Nagar,Sant Kabir Nagar
Uttar Pradesh,Sant Ravidas Nagar,Sant Ravi Das Nagar(bhadohi)
Uttar Pradesh,Shahjahanpur,Shahjahanpur
Uttar Pradesh,Shamli,Muzaffarnagar
Uttar Pradesh,Shravasti,Shrawasti
Uttar Pradesh,Siddharth Nagar,Siddharth Nagar
Uttar Pradesh,Sitapur,Sitapur
Uttar Pradesh,Sonbhadra,Sonbhadra
Uttar Pradesh,Sultanpur,Sultanpur
Uttar Pradesh,Unnao,Unnao
Uttar Pradesh,Varanasi,Varanasi
